comment_id,session_id,paradigm,coder1_severity,coder1_type,coder1_action,coder2_severity,coder2_type,coder2_action
1,1,object_oriented,critical,style,must_fix,critical,style,must_fix
2,1,object_oriented,major,documentation,should_fix,minor,documentation,should_fix
3,1,object_oriented,critical,documentation,must_fix,critical,documentation,must_fix
4,1,object_oriented,trivial,performance,consider_fixing,trivial,performance,consider_fixing
5,2,procedural,major,documentation,should_fix,major,documentation,should_fix
6,2,procedural,minor,style,must_fix,minor,style,must_fix
7,2,procedural,major,design,should_fix,major,design,should_fix
8,2,procedural,major,documentation,should_fix,major,documentation,should_fix
9,3,functional,major,design,should_fix,major,design,should_fix
10,3,functional,critical,bug,should_fix,critical,bug,should_fix
11,3,functional,trivial,style,ignore,trivial,style,ignore
12,3,functional,minor,performance,consider_fixing,minor,performance,consider_fixing
13,3,functional,minor,performance,should_fix,trivial,performance,should_fix
14,3,functional,trivial,style,ignore,trivial,style,ignore
15,3,functional,minor,style,consider_fixing,minor,style,consider_fixing
16,3,functional,major,performance,should_fix,major,performance,should_fix
17,3,functional,minor,style,consider_fixing,major,style,consider_fixing
18,3,functional,minor,documentation,consider_fixing,minor,documentation,consider_fixing
19,4,procedural,major,performance,should_fix,critical,documentation,should_fix
20,4,procedural,major,design,should_fix,major,performance,should_fix
21,4,procedural,major,style,should_fix,major,style,should_fix
22,4,procedural,minor,documentation,consider_fixing,major,documentation,consider_fixing
23,4,procedural,critical,performance,must_fix,critical,documentation,must_fix
24,4,procedural,trivial,performance,ignore,trivial,performance,ignore
25,5,functional,critical,style,must_fix,critical,style,must_fix
26,5,functional,minor,performance,consider_fixing,minor,performance,consider_fixing
27,5,functional,major,style,should_fix,major,style,must_fix
28,6,object_oriented,major,bug,should_fix,major,bug,should_fix
29,6,object_oriented,critical,performance,must_fix,critical,performance,must_fix
30,7,functional,trivial,design,ignore,trivial,style,ignore
31,7,functional,minor,bug,consider_fixing,minor,bug,consider_fixing
32,7,functional,minor,performance,should_fix,minor,performance,should_fix
33,7,functional,trivial,performance,ignore,trivial,performance,ignore
34,7,functional,major,bug,should_fix,major,style,must_fix
35,8,object_oriented,trivial,design,consider_fixing,trivial,design,consider_fixing
36,8,object_oriented,minor,style,consider_fixing,minor,style,consider_fixing
37,8,object_oriented,minor,style,consider_fixing,critical,style,consider_fixing
38,8,object_oriented,major,style,should_fix,major,style,should_fix
39,8,object_oriented,trivial,style,ignore,critical,style,ignore
40,8,object_oriented,trivial,design,ignore,trivial,design,ignore
41,8,object_oriented,major,documentation,should_fix,major,documentation,should_fix
42,9,procedural,trivial,documentation,consider_fixing,trivial,documentation,consider_fixing
43,9,procedural,major,performance,should_fix,major,performance,should_fix
44,9,procedural,critical,documentation,must_fix,critical,performance,must_fix
