participant_id,paradigm,defects_found,defects_seeded,detection_rate
1,functional,2,4,0.5
1,object_oriented,1,4,0.25
1,procedural,2,4,0.5
2,functional,4,4,1.0
2,object_oriented,1,4,0.25
2,procedural,3,4,0.75
3,functional,2,4,0.5
3,object_oriented,1,4,0.25
3,procedural,4,4,1.0
4,functional,2,4,0.5
4,object_oriented,0,4,0.0
4,procedural,0,4,0.0
5,functional,2,4,0.5
5,object_oriented,1,4,0.25
5,procedural,2,4,0.5
6,functional,2,4,0.5
6,object_oriented,2,4,0.5
6,procedural,4,4,1.0
7,functional,2,4,0.5
7,object_oriented,1,4,0.25
7,procedural,2,4,0.5
8,functional,2,4,0.5
8,object_oriented,1,4,0.25
8,procedural,3,4,0.75
9,functional,2,4,0.5
9,object_oriented,2,4,0.5
9,procedural,2,4,0.5
10,functional,2,4,0.5
10,object_oriented,4,4,1.0
10,procedural,4,4,1.0
11,functional,1,4,0.25
11,object_oriented,3,4,0.75
11,procedural,3,4,0.75
12,functional,3,4,0.75
12,object_oriented,3,4,0.75
12,procedural,4,4,1.0
13,functional,1,4,0.25
13,object_oriented,1,4,0.25
13,procedural,2,4,0.5
14,functional,3,4,0.75
14,object_oriented,3,4,0.75
14,procedural,2,4,0.5
15,functional,1,4,0.25
15,object_oriented,3,4,0.75
15,procedural,1,4,0.25
16,functional,4,4,1.0
16,object_oriented,2,4,0.5
16,procedural,3,4,0.75
17,functional,2,4,0.5
17,object_oriented,2,4,0.5
17,procedural,4,4,1.0
18,functional,3,4,0.75
18,object_oriented,1,4,0.25
18,procedural,2,4,0.5
19,functional,1,4,0.25
19,object_oriented,2,4,0.5
19,procedural,4,4,1.0
20,functional,3,4,0.75
20,object_oriented,3,4,0.75
20,procedural,3,4,0.75
21,functional,3,4,0.75
21,object_oriented,2,4,0.5
21,procedural,4,4,1.0
22,functional,3,4,0.75
22,object_oriented,3,4,0.75
22,procedural,2,4,0.5
23,functional,2,4,0.5
23,object_oriented,1,4,0.25
23,procedural,1,4,0.25
24,functional,2,4,0.5
24,object_oriented,3,4,0.75
24,procedural,2,4,0.5
25,functional,0,4,0.0
25,object_oriented,0,4,0.0
25,procedural,2,4,0.5
26,functional,2,4,0.5
26,object_oriented,3,4,0.75
26,procedural,3,4,0.75
27,functional,2,4,0.5
27,object_oriented,0,4,0.0
27,procedural,1,4,0.25
28,functional,3,4,0.75
28,object_oriented,0,4,0.0
28,procedural,1,4,0.25
29,functional,0,4,0.0
29,object_oriented,2,4,0.5
29,procedural,2,4,0.5
30,functional,2,4,0.5
30,object_oriented,2,4,0.5
30,procedural,2,4,0.5
31,functional,2,4,0.5
31,object_oriented,1,4,0.25
31,procedural,4,4,1.0
32,functional,3,4,0.75
32,object_oriented,2,4,0.5
32,procedural,4,4,1.0
33,functional,1,4,0.25
33,object_oriented,4,4,1.0
33,procedural,2,4,0.5
34,functional,4,4,1.0
34,object_oriented,2,4,0.5
34,procedural,2,4,0.5
35,functional,1,4,0.25
35,object_oriented,4,4,1.0
35,procedural,3,4,0.75
36,functional,2,4,0.5
36,object_oriented,3,4,0.75
36,procedural,2,4,0.5
37,functional,3,4,0.75
37,object_oriented,2,4,0.5
37,procedural,3,4,0.75
38,functional,3,4,0.75
38,object_oriented,2,4,0.5
38,procedural,3,4,0.75
39,functional,3,4,0.75
39,object_oriented,1,4,0.25
39,procedural,3,4,0.75
40,functional,0,4,0.0
40,object_oriented,4,4,1.0
40,procedural,0,4,0.0
41,functional,1,4,0.25
41,object_oriented,2,4,0.5
41,procedural,3,4,0.75
42,functional,3,4,0.75
42,object_oriented,1,4,0.25
42,procedural,3,4,0.75
43,functional,2,4,0.5
43,object_oriented,4,4,1.0
43,procedural,2,4,0.5
44,functional,1,4,0.25
44,object_oriented,1,4,0.25
44,procedural,4,4,1.0
45,functional,4,4,1.0
45,object_oriented,3,4,0.75
45,procedural,3,4,0.75
46,functional,1,4,0.25
46,object_oriented,2,4,0.5
46,procedural,2,4,0.5
47,functional,1,4,0.25
47,object_oriented,4,4,1.0
47,procedural,4,4,1.0
48,functional,0,4,0.0
48,object_oriented,4,4,1.0
48,procedural,2,4,0.5
49,functional,1,4,0.25
49,object_oriented,4,4,1.0
49,procedural,2,4,0.5
50,functional,2,4,0.5
50,object_oriented,2,4,0.5
50,procedural,4,4,1.0
