session_id,participant_id,paradigm,fixation_count,saccade_count,blink_count,mean_pupil_diameter_mm,pupil_variability
1,1,object_oriented,821,787,5,4.09,0.263
2,1,procedural,1409,1426,20,4.39,0.106
3,1,functional,812,795,18,3.83,0.178
4,2,procedural,1358,1450,10,4.73,0.159
5,2,functional,937,750,14,3.93,0.108
6,2,object_oriented,990,1055,18,4.39,0.118
7,3,functional,994,1153,11,4.47,0.25
8,3,object_oriented,1330,1407,20,3.84,0.2
9,3,procedural,1193,1258,18,4.48,0.266
10,4,object_oriented,1099,1076,7,4.84,0.282
11,4,procedural,1143,1127,19,4.83,0.177
12,4,functional,812,674,12,4.13,0.218
13,5,procedural,1144,1121,15,4.11,0.12
14,5,functional,815,780,12,3.78,0.133
15,5,object_oriented,986,1089,22,4.24,0.203
16,6,functional,1012,1050,7,3.65,0.206
17,6,object_oriented,1092,1118,8,4.59,0.294
18,6,procedural,1040,873,10,4.64,0.183
19,7,object_oriented,796,683,14,3.9,0.267
20,7,procedural,986,975,14,4.07,0.221
21,7,functional,847,857,8,3.92,0.268
22,8,procedural,1449,1570,9,4.43,0.235
23,8,functional,930,946,8,3.65,0.3
24,8,object_oriented,1101,972,18,4.08,0.16
25,9,functional,985,969,14,3.61,0.271
26,9,object_oriented,1132,965,15,4.29,0.171
27,9,procedural,1147,1259,14,4.58,0.236
28,10,object_oriented,967,1148,22,4.19,0.119
29,10,procedural,1240,1142,14,5.2,0.213
30,10,functional,1115,1301,10,3.45,0.279
31,11,procedural,837,871,15,3.97,0.195
32,11,functional,719,664,9,3.56,0.294
33,11,object_oriented,1163,1285,21,3.91,0.274
34,12,functional,1135,1200,16,3.94,0.247
35,12,object_oriented,1277,1527,7,4.25,0.109
36,12,procedural,1476,1221,8,4.07,0.245
37,13,object_oriented,1201,972,12,3.82,0.226
38,13,procedural,1573,1262,8,4.85,0.236
39,13,functional,832,713,14,3.31,0.142
40,14,procedural,1197,1097,9,4.98,0.104
41,14,functional,996,1015,9,3.89,0.143
42,14,object_oriented,1283,1122,13,4.04,0.211
43,15,functional,904,890,9,4.47,0.158
44,15,object_oriented,891,1039,16,4.26,0.132
45,15,procedural,1069,1027,8,4.94,0.257
46,16,object_oriented,1159,1342,15,4.74,0.168
47,16,procedural,1284,1472,22,4.21,0.175
48,16,functional,873,738,18,3.94,0.235
49,17,procedural,1172,1348,9,4.38,0.126
50,17,functional,900,816,12,3.85,0.3
51,17,object_oriented,1049,1000,19,3.87,0.122
52,18,functional,1012,810,16,3.99,0.21
53,18,object_oriented,1305,1237,18,3.99,0.179
54,18,procedural,1275,1258,15,4.47,0.109
55,19,object_oriented,1207,1343,14,4.37,0.238
56,19,procedural,1304,1480,12,4.53,0.153
57,19,functional,928,757,11,3.91,0.191
58,20,procedural,1087,926,19,4.34,0.115
59,20,functional,655,571,11,3.39,0.168
60,20,object_oriented,916,967,15,4.45,0.233
61,21,functional,981,1049,12,3.84,0.221
62,21,object_oriented,902,776,20,3.98,0.287
63,21,procedural,1133,933,16,5.49,0.298
64,22,object_oriented,1079,1144,15,3.66,0.255
