session_id,participant_id,paradigm,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,tlx_composite
1,1,object_oriented,50.0,40.4,48.3,48.5,51.3,49.5,52.99
2,1,procedural,60.5,67.5,65.5,58.6,49.6,69.5,58.51
3,1,functional,38.8,50.2,46.2,33.4,36.5,39.1,38.8
4,2,procedural,62.5,53.3,59.6,69.5,60.0,56.7,60.68
5,2,functional,50.4,56.1,35.6,37.9,43.6,43.2,39.49
6,2,object_oriented,49.9,59.9,58.3,56.9,58.1,59.9,51.3
7,3,functional,53.9,47.8,44.7,46.0,46.9,43.4,40.45
8,3,object_oriented,46.4,39.2,60.4,44.3,49.0,48.3,52.64
9,3,procedural,68.0,54.7,61.5,63.8,71.6,59.6,61.67
10,4,object_oriented,54.0,54.6,54.3,52.9,49.0,67.1,51.46
11,4,procedural,61.4,64.5,58.0,56.3,56.8,70.5,59.42
12,4,functional,55.8,51.6,45.8,48.0,38.9,41.6,39.7
13,5,procedural,49.3,64.1,66.4,70.9,70.5,57.5,59.43
14,5,functional,35.6,44.1,38.6,36.1,49.4,48.8,39.91
15,5,object_oriented,52.5,45.1,33.4,62.7,50.2,48.6,52.68
16,6,functional,48.0,46.9,33.8,36.6,45.5,53.7,40.2
17,6,object_oriented,54.4,48.9,41.5,56.4,42.4,47.9,51.95
18,6,procedural,52.3,56.0,58.5,67.0,62.6,62.1,59.93
19,7,object_oriented,58.4,50.6,62.0,51.7,47.7,65.8,51.96
20,7,procedural,76.7,69.4,57.0,55.5,60.8,65.1,60.31
21,7,functional,18.3,46.1,36.8,54.0,52.5,51.2,38.58
22,8,procedural,64.5,65.8,64.6,60.9,60.4,65.5,59.65
23,8,functional,44.5,54.7,38.9,44.2,46.1,31.6,39.43
24,8,object_oriented,61.8,43.6,60.4,51.6,52.8,59.8,53.23
25,9,functional,39.0,42.8,46.9,35.5,36.8,40.8,39.44
26,9,object_oriented,49.2,50.9,45.9,53.2,62.7,49.1,52.71
27,9,procedural,67.8,63.7,60.4,48.3,67.4,61.2,60.77
28,10,object_oriented,38.5,51.2,58.8,45.7,55.8,62.0,51.32
29,10,procedural,55.9,62.8,64.1,51.8,68.0,56.4,60.1
30,10,functional,40.3,35.8,58.6,46.9,37.0,60.7,39.61
31,11,procedural,61.3,58.9,64.5,63.3,73.4,52.1,61.04
32,11,functional,51.8,47.9,57.2,43.9,38.9,44.3,39.65
33,11,object_oriented,62.3,54.9,48.6,58.7,54.8,50.8,52.55
34,12,functional,43.1,46.9,54.1,46.5,32.7,51.2,38.7
35,12,object_oriented,53.8,34.3,37.0,57.2,51.5,60.7,53.69
36,12,procedural,64.8,77.9,71.1,60.8,57.8,75.5,58.21
37,13,object_oriented,35.3,55.2,69.9,53.2,57.8,65.7,50.6
38,13,procedural,58.1,58.0,63.1,58.2,60.9,59.2,60.11
39,13,functional,33.5,42.5,33.0,35.3,41.4,32.9,39.69
40,14,procedural,71.1,54.6,62.2,62.4,67.6,66.2,61.54
41,14,functional,46.6,49.1,32.8,36.9,36.1,42.8,39.45
42,14,object_oriented,50.4,52.0,53.9,53.4,45.1,43.3,51.53
43,15,functional,44.8,33.8,42.2,45.2,57.9,52.0,41.77
44,15,object_oriented,50.7,51.2,42.0,63.1,59.0,37.9,52.6
45,15,procedural,70.8,60.8,64.3,70.7,67.1,67.4,60.79
46,16,object_oriented,51.0,41.8,57.9,49.2,65.0,63.5,53.5
47,16,procedural,69.4,57.9,53.1,71.7,58.6,72.0,60.49
48,16,functional,47.5,44.9,41.7,36.0,42.2,46.4,40.13
49,17,procedural,59.5,67.4,70.1,65.6,63.4,61.1,59.3
50,17,functional,39.7,38.7,43.5,34.2,58.3,46.5,41.22
51,17,object_oriented,49.0,57.6,58.3,64.8,58.5,51.6,51.49
52,18,functional,49.1,33.5,44.5,46.3,51.2,36.9,41.79
53,18,object_oriented,44.9,46.7,50.0,45.8,43.5,53.8,51.56
54,18,procedural,72.8,67.9,62.7,69.3,71.3,60.9,60.67
55,19,object_oriented,55.6,57.3,43.6,45.4,55.0,50.6,52.16
56,19,procedural,73.7,51.1,69.3,52.2,55.6,67.6,61.28
57,19,functional,44.5,51.9,32.8,51.8,42.5,34.9,39.38
58,20,procedural,61.0,55.2,55.0,60.9,55.0,59.0,60.24
59,20,functional,33.5,46.3,37.8,51.8,34.5,32.5,38.64
60,20,object_oriented,56.1,57.8,61.0,63.2,59.4,51.3,51.97
61,21,functional,50.7,34.3,33.6,48.8,50.0,44.2,41.75
62,21,object_oriented,55.9,61.2,53.6,58.4,58.8,48.9,51.8
63,21,procedural,67.8,66.5,56.1,67.6,58.1,65.0,59.68
64,22,object_oriented,48.0,53.5,59.6,63.8,56.3,68.1,51.43
65,22,procedural,71.5,59.0,55.0,53.8,70.5,54.7,61.71
66,22,functional,48.0,51.0,32.4,51.8,42.9,40.6,39.65
67,23,procedural,56.7,60.4,55.6,60.2,61.2,59.7,59.88
68,23,functional,41.5,41.0,50.3,47.0,46.0,40.2,40.17
69,23,object_oriented,56.4,46.5,44.5,53.0,47.0,63.2,52.39
70,24,functional,41.8,41.3,27.7,37.0,42.0,51.2,40.18
71,24,object_oriented,49.9,66.0,46.6,47.0,42.0,63.4,49.96
72,24,procedural,68.7,48.3,56.8,66.4,60.6,54.9,61.67
73,25,object_oriented,55.3,47.0,47.3,67.7,61.9,63.0,53.02
74,25,procedural,73.3,61.4,54.9,62.5,64.1,65.8,60.95
75,25,functional,41.2,36.7,40.4,44.1,42.6,38.4,40.5
76,26,procedural,66.1,68.7,66.1,68.4,67.0,68.8,59.76
77,26,functional,55.7,52.6,50.6,41.6,56.6,37.8,40.81
78,26,object_oriented,54.9,53.4,39.1,59.1,51.5,44.5,52.2
79,27,functional,43.7,35.5,55.1,43.1,46.2,51.1,40.67
80,27,object_oriented,50.7,51.3,60.7,57.0,55.4,43.9,52.12
81,27,procedural,59.5,69.8,69.4,67.0,59.2,60.8,58.82
82,28,object_oriented,54.5,45.5,56.3,46.1,59.6,58.6,53.17
83,28,procedural,60.7,60.1,69.7,54.2,64.7,59.4,60.29
84,28,functional,47.4,32.3,46.5,46.5,55.9,47.1,41.93
85,29,procedural,68.2,53.5,61.5,53.6,65.1,64.8,61.43
86,29,functional,34.5,45.3,34.8,37.4,37.5,38.0,39.13
87,29,object_oriented,44.2,50.9,63.5,53.6,51.5,57.4,51.33
88,30,functional,39.8,48.1,35.7,42.1,48.1,47.9,39.7
89,30,object_oriented,55.0,44.1,59.3,57.5,48.2,54.2,52.47
90,30,procedural,70.3,56.8,67.8,53.2,61.7,63.6,61.0
91,31,object_oriented,53.9,56.0,45.0,53.0,59.0,57.4,52.22
92,31,procedural,61.5,74.8,56.7,62.6,51.0,57.0,58.24
93,31,functional,54.5,50.3,38.8,46.6,35.7,48.2,39.56
94,32,procedural,64.1,62.4,57.1,60.3,69.6,45.3,60.88
95,32,functional,36.3,55.2,41.6,42.8,50.2,46.4,38.91
96,32,object_oriented,53.0,57.4,54.3,53.5,49.8,50.3,51.41
97,33,functional,40.3,33.8,31.5,48.2,33.7,40.5,40.17
98,33,object_oriented,45.8,46.0,50.5,51.4,50.9,50.2,52.12
99,33,procedural,56.5,68.4,55.0,77.9,66.0,56.1,59.29
100,34,object_oriented,48.4,55.5,47.1,47.8,50.2,50.6,51.48
101,34,procedural,56.9,68.2,49.8,58.2,43.3,54.3,58.22
102,34,functional,45.8,49.0,40.5,44.5,37.9,36.1,39.42
103,35,procedural,53.4,54.8,60.5,59.3,61.4,61.0,60.12
104,35,functional,43.6,28.6,50.5,48.4,44.0,45.0,41.2
105,35,object_oriented,53.4,54.2,56.8,39.1,55.9,64.0,52.09
106,36,functional,43.4,43.9,42.1,46.3,40.1,48.9,39.65
107,36,object_oriented,49.4,49.3,44.1,49.6,55.5,56.3,52.38
108,36,procedural,57.9,61.9,73.0,65.2,55.5,62.3,59.15
109,37,object_oriented,62.1,54.4,56.7,41.4,49.7,48.2,52.41
110,37,procedural,63.9,61.8,67.5,53.9,61.5,58.5,60.19
111,37,functional,28.7,40.9,39.1,34.6,51.6,41.0,40.0
