session_id,participant_id,paradigm,comprehension_time_s
1,1,object_oriented,258.71
2,1,procedural,372.98
3,1,functional,156.51
4,2,procedural,344.84
5,2,functional,203.12
6,2,object_oriented,316.09
7,3,functional,266.52
8,3,object_oriented,304.82
9,3,procedural,422.48
10,4,object_oriented,241.05
11,4,procedural,278.4
12,4,functional,206.0
13,5,procedural,367.33
14,5,functional,224.15
15,5,object_oriented,352.41
16,6,functional,254.57
17,6,object_oriented,217.29
18,6,procedural,398.2
19,7,object_oriented,280.5
20,7,procedural,303.41
21,7,functional,186.93
22,8,procedural,284.47
23,8,functional,194.16
24,8,object_oriented,307.1
25,9,functional,199.68
26,9,object_oriented,243.17
27,9,procedural,336.06
28,10,object_oriented,304.71
29,10,procedural,282.13
30,10,functional,167.9
31,11,procedural,366.86
32,11,functional,165.64
33,11,object_oriented,358.15
34,12,functional,205.17
35,12,object_oriented,241.23
36,12,procedural,305.86
37,13,object_oriented,264.35
38,13,procedural,324.23
39,13,functional,150.0
40,14,procedural,428.24
41,14,functional,235.94
42,14,object_oriented,273.83
43,15,functional,235.76
44,15,object_oriented,270.9
45,15,procedural,309.05
46,16,object_oriented,350.24
47,16,procedural,351.52
48,16,functional,210.86
49,17,procedural,355.68
50,17,functional,227.76
51,17,object_oriented,336.28
52,18,functional,243.57
53,18,object_oriented,173.18
54,18,procedural,429.94
55,19,object_oriented,377.29
56,19,procedural,421.52
57,19,functional,193.25
58,20,procedural,322.78
59,20,functional,227.93
60,20,object_oriented,287.32
61,21,functional,221.22
62,21,object_oriented,279.06
63,21,procedural,415.77
64,22,object_oriented,268.35
65,22,procedural,331.09
66,22,functional,211.91
67,23,procedural,534.09
68,23,functional,207.55
69,23,object_oriented,257.2
70,24,functional,237.01
71,24,object_oriented,310.7
72,24,procedural,298.62
73,25,object_oriented,262.08
74,25,procedural,414.21
75,25,functional,213.48
76,26,procedural,226.64
77,26,functional,220.18
78,26,object_oriented,363.3
79,27,functional,183.62
80,27,object_oriented,308.95
81,27,procedural,451.11
82,28,object_oriented,301.94
83,28,procedural,321.22
84,28,functional,212.57
85,29,procedural,414.81
86,29,functional,216.9
87,29,object_oriented,277.69
88,30,functional,225.8
89,30,object_oriented,273.72
90,30,procedural,415.22
91,31,object_oriented,326.25
92,31,procedural,297.5
93,31,functional,203.42
94,32,procedural,365.71
95,32,functional,234.0
96,32,object_oriented,306.6
97,33,functional,230.57
98,33,object_oriented,327.14
99,33,procedural,250.11
100,34,object_oriented,334.96
101,34,procedural,301.79
102,34,functional,165.54
103,35,procedural,204.51
104,35,functional,179.7
105,35,object_oriented,274.79
106,36,functional,227.61
107,36,object_oriented,260.23
108,36,procedural,289.93
109,37,object_oriented,322.07
110,37,procedural,406.75
111,37,functional,213.17
112,38,procedural,296.85
113,38,functional,276.61
114,38,object_oriented,281.28
115,39,functional,227.0
116,39,object_oriented,215.95
117,39,procedural,403.29
118,40,object_oriented,302.67
119,40,procedural,400.25
120,40,functional,227.47
121,41,procedural,430.22
122,41,functional,187.83
123,41,object_oriented,311.34
124,42,functional,222.42
125,42,object_oriented,279.8
126,42,procedural,265.18
127,43,object_oriented,348.26
128,43,procedural,433.64
129,43,functional,150.0
130,44,procedural,346.87
131,44,functional,215.31
132,44,object_oriented,296.66
133,45,functional,236.88
134,45,object_oriented,294.6
135,45,procedural,464.42
136,46,object_oriented,351.11
137,46,procedural,303.73
138,46,functional,181.2
139,47,procedural,353.99
140,47,functional,150.0
141,47,object_oriented,217.66
142,48,functional,158.92
143,48,object_oriented,230.93
144,48,procedural,425.04
145,49,object_oriented,248.44
146,49,procedural,299.54
147,49,functional,227.81
148,50,procedural,386.1
149,50,functional,218.19
150,50,object_oriented,243.87
